Submission id,prolificid,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ad425d2826127b035c82f0,60471ddd0b6ed718cb843760,APPROVED,2023-07-11T11:52:04.063000Z,2023-07-11T12:28:45.077000Z,2023-07-13T17:17:56.142000,2023-07-11T12:28:46.119449Z,2202,NOCODE,203,English,40,Female,Black,South Africa,South Africa,South Africa,English,No,Other
64ad42625b1d6f7ec14774cd,603229656ef6bd1d1b07f6c9,APPROVED,2023-07-11T11:52:15.481000Z,2023-07-11T12:35:47.419000Z,2023-07-13T17:17:56.269000,2023-07-11T12:35:48.038702Z,2612,NOCODE,420,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
64ad42675cf8eac5c8702618,5b71b24ab3e51f0001915753,APPROVED,2023-07-11T11:52:13.138000Z,2023-07-11T12:13:34.803000Z,2023-07-13T17:17:56.395000,2023-07-11T12:13:35.621767Z,1282,NOCODE,171,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
64ad426bb226b84bd5ff6e4c,6060b63e4ccfcf7b44479d8b,APPROVED,2023-07-11T11:52:53.856000Z,2023-07-11T12:31:36.343000Z,2023-07-13T17:17:56.528000,2023-07-11T12:31:38.077031Z,2323,NOCODE,286,"Afrikaans, English",21,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64ad427a3400c51691695675,5f7f18137488a50407d729e6,APPROVED,2023-07-11T11:52:31.198000Z,2023-07-11T12:44:06.969000Z,2023-07-13T17:17:56.739000,2023-07-11T12:44:07.413445Z,3096,NOCODE,134,English,25,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad427e227249fb8f0b4be0,596a3b32670f410001fe95d9,APPROVED,2023-07-11T11:57:02.629000Z,2023-07-11T12:11:56.473000Z,2023-07-13T17:17:56.897000,2023-07-11T12:11:57.174039Z,894,NOCODE,1027,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad428c9b2c6b31e10b4c2b,5f4560c565e28d13e5dd5d56,APPROVED,2023-07-11T11:54:35.190000Z,2023-07-11T12:43:31.135000Z,2023-07-13T17:17:57.014000,2023-07-11T12:43:32.088190Z,2936,NOCODE,89,English,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad428d53c43a3f2f2aaa96,614841ac474b90e021ccdefa,APPROVED,2023-07-11T11:52:48.255000Z,2023-07-11T12:13:36.439000Z,2023-07-13T17:17:57.184000,2023-07-11T12:13:37.907974Z,1249,NOCODE,256,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad4292975bc8d847c607d3,5b1d303d3522660001b43e37,APPROVED,2023-07-11T11:52:53.679000Z,2023-07-11T12:09:46.463000Z,2023-07-13T17:17:57.331000,2023-07-11T12:09:46.901528Z,1013,NOCODE,498,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad42b13cd2406b90a6e29f,610890b3f16ce2a44b73b74a,APPROVED,2023-07-11T11:55:51.334000Z,2023-07-11T12:23:23.203000Z,2023-07-13T17:17:57.450000,2023-07-11T12:23:23.671275Z,1652,NOCODE,555,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
